alias,contract_val,delivery,instrument_id,listing,quote_currency,tick_size,trade_increment,underlying_index
this_week,100,2019-03-15,BTC-USD-190315,2019-03-01,USD,0.01,1,BTC
next_week,100,2019-03-22,BTC-USD-190322,2019-03-08,USD,0.01,1,BTC
quarter,100,2019-03-29,BTC-USD-190329,2018-12-14,USD,0.01,1,BTC
this_week,10,2019-03-15,LTC-USD-190315,2019-03-01,USD,0.001,1,LTC
next_week,10,2019-03-22,LTC-USD-190322,2019-03-08,USD,0.001,1,LTC
quarter,10,2019-03-29,LTC-USD-190329,2018-12-14,USD,0.001,1,LTC
this_week,10,2019-03-15,ETH-USD-190315,2019-03-01,USD,0.001,1,ETH
next_week,10,2019-03-22,ETH-USD-190322,2019-03-08,USD,0.001,1,ETH
quarter,10,2019-03-29,ETH-USD-190329,2018-12-14,USD,0.001,1,ETH
this_week,10,2019-03-15,ETC-USD-190315,2019-03-01,USD,0.001,1,ETC
next_week,10,2019-03-22,ETC-USD-190322,2019-03-08,USD,0.001,1,ETC
quarter,10,2019-03-29,ETC-USD-190329,2018-12-14,USD,0.001,1,ETC
this_week,10,2019-03-15,XRP-USD-190315,2019-03-01,USD,0.0001,1,XRP
next_week,10,2019-03-22,XRP-USD-190322,2019-03-08,USD,0.0001,1,XRP
quarter,10,2019-03-29,XRP-USD-190329,2018-12-14,USD,0.0001,1,XRP
this_week,10,2019-03-15,BCH-USD-190315,2019-03-01,USD,0.01,1,BCH
next_week,10,2019-03-22,BCH-USD-190322,2019-03-08,USD,0.01,1,BCH
quarter,10,2019-03-29,BCH-USD-190329,2018-12-27,USD,0.01,1,BCH
this_week,10,2019-03-15,BSV-USD-190315,2019-03-01,USD,0.01,1,BSV
next_week,10,2019-03-22,BSV-USD-190322,2019-03-08,USD,0.01,1,BSV
quarter,10,2019-03-29,BSV-USD-190329,2018-12-27,USD,0.01,1,BSV
this_week,10,2019-03-15,EOS-USD-190315,2019-03-01,USD,0.001,1,EOS
next_week,10,2019-03-22,EOS-USD-190322,2019-03-08,USD,0.001,1,EOS
quarter,10,2019-03-29,EOS-USD-190329,2018-12-14,USD,0.001,1,EOS
